Title	Snippet	URL	Category
How Trump Is Helping Liberals Abroad	Voters are rallying behind some leaders who oppose President Trump’s tariffs, threats and insults. There’s a theory that explains why.	https://www.nytimes.com/2025/03/13/briefing/donald-trump-international-relations.html	Politics
Elbows Up: Canada’s Response to Trump’s Trade War	Anger with the country’s southern neighbor is simmering and widespread.	https://www.nytimes.com/2025/03/13/podcasts/the-daily/canada-trade-war-trump.html	Politics
How Corporate America Is Retreating From D.E.I.	So far this year the number of companies in the S&P 500 that used the phrase “diversity, equity and inclusion” in annual reports has fallen by nearly 60 percent from 2024, a New York Times analysis shows.	https://www.nytimes.com/interactive/2025/03/13/business/corporate-america-dei-policy-shifts.html	Politics
As Markets Whipsaw, Conservative Media Shrugs	Many conservative websites have either ignored the recent stock declines or framed them in a positive way.	https://www.nytimes.com/2025/03/13/business/media/stock-market-conservative-media.html	Politics
A Story About Salmon That Almost Had a Happy Ending	How tribal leaders, commercial fisherman and a few small environmental groups won an uphill campaign against dams.	https://www.nytimes.com/2025/03/13/opinion/salmon-klamath-river-dam.html	Politics
In a Europe Adrift, Macron Seizes the Moment	The French president’s prescriptions for “strategic autonomy” and a European force for Ukraine are suddenly timely in a world with a less dependable America.	https://www.nytimes.com/2025/03/13/world/europe/macron-europe.html	Politics
Starvation Is Not a Negotiating Tactic	Lately it feels as if the human beings in Gaza are increasingly lost from our understanding.	https://www.nytimes.com/2025/03/13/opinion/gaza-war-israel-negotiations.html	Politics
How Generative A.I. Complements the MAGA Style	Online Trump supporters have embraced a unique form of irony that is hard to parse — and easy to deploy with new technologies.	https://www.nytimes.com/2025/03/13/magazine/generative-ai-maga-style.html	Politics
How the Intrepid Moved a World War II Fighter Plane	The 33-foot Corsair, on loan from Florida, had to be “rigged up on skates” to get to the Intrepid’s hangar deck.	https://www.nytimes.com/2025/03/13/nyregion/intrepid-corsair-fighter-bomber.html	Politics
What We’ve Learned About School Closures for the Next Pandemic	Five years after the global Covid pandemic was declared, there is widespread agreement that closing classrooms was devastating for children. Here is what leaders say they may do next time.	https://www.nytimes.com/2025/03/13/us/school-closures-future-pandemic.html	Politics
Public Health Survived the Pandemic. Now It Fights Politics.	Five years after the pandemic began, many local health officials say that the politicization of Covid has left them with fewer tools and fresh challenges.	https://www.nytimes.com/2025/03/13/us/public-health-survived-the-pandemic-now-it-fights-politics.html	Politics
Elon Musk’s Starlink Pushes Its Way Into India	By signing deals with India’s two biggest telecom players, the tech tycoon and Trump adviser has improved his odds of breaking into an enormous market.	https://www.nytimes.com/2025/03/13/business/starlink-india-musk.html	Politics
New York City’s Population Ticks Up to More Than 8.4 Million	Fewer people leaving the city and more foreign newcomers have helped erase pandemic losses, new census data shows.	https://www.nytimes.com/2025/03/13/nyregion/nyc-population-2024.html	Politics
The Age of Trump Has Its Prophet: Pope Francis	The pope has emerged as an increasingly lonely moral voice against perilous global trends like nationalism and populism.	https://www.nytimes.com/2025/03/13/opinion/pope-francis-hospital-trump.html	Politics
Trump’s Big Bet: Americans Will Tolerate Economic Downturn to Restore Manufacturing	The president offers many reasons for imposing tariffs, including revenue, leverage over competitors and job creation. But history suggests a more complex history.	https://www.nytimes.com/2025/03/13/us/politics/trump-manufacturing-economy-risk.html	Politics
Europe Expected a Transactional Trump. It Got Something Else.	Europe had been banking on a United States that wanted to make a deal on tariffs and trade. With little progress in that direction, it’s reluctantly starting to hit back.	https://www.nytimes.com/2025/03/13/world/europe/trump-europe-tariffs-retaliation.html	Politics
Plans for a Chinese Port Roil the Politics of a Former Soviet Nation	Georgia’s government sparked an uproar by announcing that a port project on the Black Sea will be awarded to a company from China after canceling a contract with a consortium that included Western firms.	https://www.nytimes.com/2025/03/13/world/europe/china-georgia-port.html	Politics
‘Let’s Not Talk About It’: 5 Years Later, China’s Covid Shadow Lingers	People who endured the longest Covid restrictions in the world are still grappling with what they lost: their loved ones, their livelihoods, their dignity.	https://www.nytimes.com/2025/03/13/world/asia/china-covid-trauma.html	Politics
Why the White House Car Show Mattered to Musk	A lot has changed since former President Joseph R. Biden Jr. snubbed Elon Musk at an event in 2021.	https://www.nytimes.com/2025/03/12/us/politics/trump-tesla-elon-musk-white-house.html	Politics
Selma Miriam, Founder of the Feminist Restaurant Bloodroot, Dies at 89	She and Noel Furie had just come out as lesbians when they opened an unusual gathering place for women in Connecticut. Nearly half a century later, it is still thriving.	https://www.nytimes.com/2025/03/12/dining/selma-miriam-dead.html	Politics
Trump Pardons Ex-Tennessee State Senator Imprisoned for Campaign Fraud	Brian Kelsey, a Republican, pleaded guilty to illegally funneling money to his failed campaign for Congress in 2016. He later tried unsuccessfully to withdraw his plea.	https://www.nytimes.com/2025/03/12/us/tennessee-senator-kelsey-trump-pardon.html	Politics
Trump Appointee Filmed Influencer Videos on the Job	The official, McLaurine Pinover, the top spokeswoman for the Office of Personnel Management, said she never made any money from the fashion videos filmed in her office.	https://www.nytimes.com/2025/03/12/us/politics/mclaurine-pinover-trump-doge-influencer.html	Politics
The Killing of an Infowars Reporter Was Likely a Random Attack, Police Say	But that has not stopped Infowars’ founder, Alex Jones, from spreading misinformation.	https://www.nytimes.com/2025/03/12/us/infowars-murder-alex-jones.html	Politics
The Balochistan Separatist Movement in Pakistan: What to Know	A dramatic escalation in the tactics by a Baloch separatist group came with the hijacking of a passenger train on Tuesday.	https://www.nytimes.com/2025/03/12/world/asia/balochistan-liberation-army-pakistan.html	Politics
Columbia Activist’s Case Goes to Court	Also, a government shutdown looms. Here’s the latest at the end of Wednesday.	https://www.nytimes.com/2025/03/12/briefing/trump-columbia-activist-arrest-trade-war-canada-eu.html	Politics
How Congress Could Force $1.1 Billion in Cuts on Washington, D.C.	District leaders say that a proposed cut to the city budget, part of a plan to avert a federal government shutdown, is unfair. The city raises most of its own money but cannot control how it is spent.	https://www.nytimes.com/2025/03/12/us/congress-washington-dc-shutdown-budget-cut.html	Politics
Justice Dept. Moving to Downsize Units Investigating Fraud and Corruption	The plans, which have not been finalized, are the latest effort by the Trump administration to limit the ability of prosecutors to bring sensitive and politically fraught cases.	https://www.nytimes.com/2025/03/12/us/politics/justice-dept-fraud-corruption.html	Politics
Trump’s Revenge on Law Firms Seen as Undermining Justice System	The president’s use of government power to punish firms is seen by some legal experts as undercutting a basic tenet: the right to a strong legal defense.	https://www.nytimes.com/2025/03/12/us/politics/trump-law-firms-perkins-coie.html	Politics
Senate Democrats Balk at Funding Extension, Raising the Risk of a Shutdown	The top Senate Democrat said his members were not ready to provide the votes to allow the Republican-written stopgap spending measure to pass ahead of a Friday night deadline. There is still time for a reversal.	https://www.nytimes.com/2025/03/12/us/politics/government-shutdown-funding-bill-senate-democrats.html	Politics
Inside Trump’s Crackdown on Dissent: Obscure Laws, ICE Agents and Fear	President Trump is clamping down broadly on dissent using the tools of the federal government.	https://www.nytimes.com/2025/03/12/us/politics/trump-crackdown-dissent.html	Politics
Where Trump Is Giving Liberals a Hand	Being known as an enemy of Trump has become great politics in Canada and Mexico	https://www.nytimes.com/2025/03/12/opinion/trump-canada-mexico.html	Politics
At Columbia, Tension Over Gaza Protests Hits Breaking Point Under Trump	There were protests, arrests, the departure of the school’s president. Then, a new administration arrived in Washington.	https://www.nytimes.com/2025/03/12/nyregion/columbia-university-trump-protests.html	Politics
E.P.A. Cancels Climate Grants, Intensifying Battle Over $20 Billion	Here is what we know about the billions in funds that have led to federal investigations, lawsuits and frozen bank accounts for climate nonprofit groups.	https://www.nytimes.com/2025/03/12/climate/epa-climate-grants-canceled.html	Politics
More Senators Should Follow Jeanne Shaheen’s Lead	Jeanne Shaheen, 78, is the latest Senate Democrat to say she won’t run for re-election. It’s the right call, and there’s still time for others to follow.	https://www.nytimes.com/2025/03/12/opinion/jeanne-shaheen-retire-new-hampshire.html	Politics
Think Twice Before Using These Words	Readers react to the Trump administration’s suppression of words in government documents. Also: Bullied Republicans; Iran’s economy.	https://www.nytimes.com/2025/03/12/opinion/trump-censorship-words.html	Politics
Economic Outlook Is Clouded by ‘Unthinkable’ Policies	The mood at a gathering of central bankers, economists and analysts in Europe was somewhat bewildered, as they assessed the unpredictability of trade policy and geopolitics.	https://www.nytimes.com/2025/03/12/business/economy/economy-uncertainty-tariffs-europe.html	Politics
Yale Suspends Scholar After A.I.-Powered News Site Accuses Her of Terrorist Link	The deputy director of a liberal project at Yale Law School was put on leave over allegations that she is linked to Samidoun, a group the U.S. government has said funds terrorists.	https://www.nytimes.com/2025/03/12/us/yale-suspends-scholar-terrorism.html	Politics
21 Nonfiction Books to Read This Spring	A posthumous collection of Joan Didion’s diaries, biographies of Yoko Ono and Mark Twain, a history of The Onion — and plenty more.	https://www.nytimes.com/2025/03/12/books/new-nonfiction-books-spring-2025.html	Politics
Climate Group Funded by Bill Gates Slashes Staff in Major Retreat	Breakthrough Energy, an umbrella group for energy and environmental efforts funded by Mr. Gates, is resetting for the Trump era.	https://www.nytimes.com/2025/03/12/climate/bill-gates-breakthrough-energy-cuts.html	Politics
Europe Welcomes a Ukraine Cease-Fire Offer and a Revival of U.S. Aid	Leaders worked hard to get President Volodymyr Zelensky back in the good graces of President Trump, no matter how humiliating, and to shift the onus to Russia.	https://www.nytimes.com/2025/03/12/world/europe/europe-ukraine-cease-fire-offer.html	Politics
A Chance for Justice in a Notorious Drug War	Running parallel to Rodrigo Duterte’s transfer to the International Criminal Court in The Hague is a monthslong feud with the Philippines’ current president.	https://www.nytimes.com/2025/03/12/world/asia/philippines-duterte-arrest-marcos.html	Politics
Gavin Newsom Finds Some Surprising Common Ground With Steve Bannon	The California governor hosted one of the architects of President Trump’s political movement on his new podcast, and their friendly sparring revealed a few points of agreement.	https://www.nytimes.com/2025/03/12/us/politics/gavin-newsom-podcast-steve-bannon.html	Politics
Senator Jeanne Shaheen, New Hampshire Democrat, Won’t Run Again in 2026	Ms. Shaheen’s retirement will set off a high-stakes fight for an open seat in a state where she has been a leading political figure for decades.	https://www.nytimes.com/2025/03/12/us/politics/jeanne-shaheen-new-hampshire-senate-2026.html	Politics
German Arms Maker Rheinmetall Has Record Sales in ‘Era of Rearmament’	Since the start of the war in Ukraine, the company moved quickly to meet Europe’s growing need for military spending.	https://www.nytimes.com/2025/03/12/business/europe-defense-rheinmetall-earnings.html	Politics
Judges Are Pushing Back on Trump’s Actions. Here’s a Look at Key Rulings.	Taken as a whole, the rulings represent an effort to thwart President Trump’s serial attempts to increase his power and the executive branch’s dominion over the government.	https://www.nytimes.com/2025/03/12/us/politics/trump-policy-executive-orders-rulings.html	Politics
The Share of Religious Americans Will Continue to Decline	There has been a plateau of “nones” in the past few years. It won’t last.	https://www.nytimes.com/2025/03/12/opinion/decline-religion-america.html	Politics
